ZIP,OFFENSE-DESC,OFFENSE-DESC
78215,Vandalism,10
78215,Threats,7
78215,Aggravated Assault,6
78215,Unauthorized Use of Motor Vehicle,6
78215,Aggravated Family Violence,4
78215,Burglary Building,4
78215,Robbery Individual,4
78215,Theft of Vehicle,3
78215,Aggravated Robbery Individual,2
78215,Indecent Exposure,2
78215,Injury to Elderly Person,2
78215,Kidnapping,2
78215,Protective Order Violation,2
78215,Burglary Habitation,1
78215,Burglary Vehicle,1
78215,Deadly Conduct,1
78215,Fraud,1
78215,Indecency/Obscenity,1
78215,Injury to a Child,1
78216,Drug Arrest,1274
78216,Larceny,1171
78216,TABC-Liquor Law Violation,528
78216,Panhandling,324
78216,Family Violence,241
78216,Obstruction of Justice,213
78216,Trespassing,128
78216,Weapon Violation,126
78216,Traffic Violation,122
78216,Driving While Intoxicated,100
78216,Fraud,90
78216,Assault,67
78216,Vandalism,43
78216,Theft of Vehicle,37
78216,Burglary Vehicle,35
78216,Aggravated Assault,29
78216,Prostitution,28
78216,Aggravated Family Violence,27
78216,Aggravated Robbery Individual,24
78216,Unauthorized Use of Motor Vehicle,17
78216,Deadly Conduct,15
78216,Threats,12
78216,Injury to a Child,9
78216,Protective Order Violation,9
78216,Robbery Individual,9
78216,Indecent Exposure,7
78216,Robbery Business,7
78216,Burglary Habitation,5
78216,Injury to Elderly Person,5
78216,Aggravated Robbery Business,4
78216,Burglary Building,4
78216,Intoxication Assault,4
78216,Sexual Assault,4
78216,Kidnapping,3
78216,Graffiti,2
78216,Manslaughter,2
78216,Indecency/Obscenity,1
78216,Stalking,1
78217,Drug Arrest,725
78217,TABC-Liquor Law Violation,255
78217,Larceny,254
78217,Family Violence,208
78217,Obstruction of Justice,139
78217,Trespassing,132
78217,Weapon Violation,78
78217,Assault,46
78217,Driving While Intoxicated,39
78217,Traffic Violation,37
78217,Aggravated Assault,34
78217,Vandalism,32
78217,Panhandling,31
78217,Theft of Vehicle,30
78217,Fraud,29
78217,Aggravated Family Violence,27
78217,Burglary Building,24
78217,Burglary Vehicle,22
78217,Deadly Conduct,17
78217,Burglary Habitation,15
78217,Threats,12
78217,Protective Order Violation,11
78217,Unauthorized Use of Motor Vehicle,11
78217,Injury to a Child,10
78217,Prostitution,10
78217,Kidnapping,8
78217,Injury to Elderly Person,7
78217,VICE Violation,5
78217,Aggravated Robbery Individual,4
78217,Indecent Exposure,4
78217,Sexual Assault,3
78217,Arson,2
78217,Indecency with a Child,2
78217,Manslaughter,2
78217,Robbery Individual,2
78217,Aggravated Sexual Assault,1
78217,Robbery Business,1
78218,Drug Arrest,828
78218,TABC-Liquor Law Violation,696
78218,Family Violence,250
78218,Larceny,249
78218,Obstruction of Justice,211
78218,Weapon Violation,101
78218,Trespassing,81
78218,Traffic Violation,67
78218,Assault,56
78218,Driving While Intoxicated,50
78218,Panhandling,46
78218,Fraud,40
78218,Vandalism,37
78218,Aggravated Assault,36
78218,Theft of Vehicle,25
78218,Aggravated Family Violence,24
78218,Threats,22
78218,Deadly Conduct,21
78218,Burglary Building,14
78218,Burglary Habitation,14
78218,Aggravated Robbery Individual,11
78218,Prostitution,11
78218,Protective Order Violation,10
78218,Burglary Vehicle,9
78218,Injury to Elderly Person,9
78218,Murder,9
78218,Unauthorized Use of Motor Vehicle,9
78218,Injury to a Child,8
78218,Sexual Assault,8
78218,Aggravated Sexual Assault,6
78218,Indecent Exposure,5
78218,Aggravated Robbery Business,4
78218,Kidnapping,4
78218,Arson,2
78218,Robbery Individual,2
78218,Stalking,2
78218,Robbery Business,1
78219,Drug Arrest,379
78219,TABC-Liquor Law Violation,87
78219,Family Violence,80
78219,Obstruction of Justice,73
78219,Weapon Violation,56
78219,Larceny,46
78219,Trespassing,37
78219,Traffic Violation,34
78219,Assault,27
78219,Fraud,20
78219,Aggravated Assault,19
78219,Driving While Intoxicated,18
78219,Vandalism,15
78219,Theft of Vehicle,14
78219,Prostitution,12
78219,Injury to a Child,8
78219,Aggravated Family Violence,7
78219,Deadly Conduct,6
78219,Unauthorized Use of Motor Vehicle,6
78219,Aggravated Robbery Business,5
78219,Aggravated Robbery Individual,5
78219,Panhandling,5
78219,Murder,4
78219,Burglary Vehicle,3
78219,Intoxication Assault,3
78219,Burglary Habitation,2
78219,Indecent Exposure,2
78219,Threats,2
78219,Burglary Building,1
78219,Graffiti,1
78219,Manslaughter,1
78219,Protective Order Violation,1
78219,Robbery Individual,1
78219,Stalking,1
78220,Drug Arrest,662
78220,Larceny,433
78220,Obstruction of Justice,190
78220,Family Violence,132
78220,TABC-Liquor Law Violation,106
78220,Weapon Violation,103
78220,Trespassing,57
78220,Traffic Violation,50
78220,Assault,35
78220,Fraud,32
78220,Vandalism,28
78220,Aggravated Assault,25
78220,Theft of Vehicle,22
78220,Aggravated Family Violence,20
78220,Prostitution,14
78220,Robbery Business,13
78220,Driving While Intoxicated,12
78220,Threats,12
78220,Burglary Building,9
78220,Deadly Conduct,9
78220,Protective Order Violation,9
78220,Burglary Vehicle,8
78220,Unauthorized Use of Motor Vehicle,8
78220,Panhandling,6
78220,Burglary Habitation,5
78220,Injury to a Child,5
78220,Aggravated Robbery Individual,4
78220,Indecency with a Child,4
78220,Kidnapping,4
78220,Manslaughter,4
78220,Robbery Individual,4
78220,Injury to Elderly Person,3
78220,Sexual Assault,3
78220,Indecent Exposure,2
78220,Aggravated Sexual Assault,1
78221,Drug Arrest,861
78221,TABC-Liquor Law Violation,299
78221,Family Violence,267
78221,Larceny,266
78221,Obstruction of Justice,254
78221,Traffic Violation,110
78221,Trespassing,97
78221,Weapon Violation,68
78221,Assault,57
78221,Panhandling,49
78221,Aggravated Assault,48
78221,Aggravated Family Violence,28
